Shoulder Pass-Through, Normal
Strict Pullups, Pullup Bar
Chin-ups, Pullup Bar
Commando Pullups, Pullup Bar
Towel Pullups, Pullup Bar
Dips, Pullup Bar
Burpees Pullups, Pullup Bar
Toes-to-bar, Pullup Bar
Full Hanging Leg Wipers, Pullup Bar
Hanging Knee Wipers, Pullup Bar
Burpees, Normal
Burpee-Squat-Jump, Normal
Calf Raises, Normal
Climbers, Normal
Froggers, Normal
Supermen, Normal
Hip Raises, Normal
Pikes, Normal
Strict Pushups, Normal
Diamond Pushups, Normal
Handstand Pushups, Wall
One-Handed Pushups, Normal
Sphinx Pushups, Normal
Spiderman Pushups, Normal
Jackknives, Normal
Leg Raises, Normal
Leg Wipers, Normal
Situps, Normal
120 secs Plank, Normal
Toe-Touch Crunches, Normal
Twists, Normal
Knee Jumps, Normal
Wall Walks, Wall
Lunges, Normal
Squats, Normal
Pistols, Normal
Squat Jumps, Normal
Standups, Normal